,Message,Timestamp,Geometry,name,lock_resource,lock_container,queue_a,queue_b,entry_a,entry_b,lock_id
0,1779687 enters lock,2023-12-25 02:46:30.966923,POINT (4.403284579556285 51.24030450469896),1306537,1,0,0,0,True,False,1306537
1,Closes entry A,2023-12-25 02:47:30.966923,,1306537,1,0,0,0,True,False,1306537
2,Opens entry B,2023-12-25 03:17:30.966923,,1306537,1,0,0,0,False,True,1306537
3,1779687 leaves lock,2023-12-25 03:17:30.966923,POINT (4.403284579556285 51.24030450469896),1306537,1,0,0,0,False,True,1306537
4,1046675 enters lock,2023-12-25 06:16:30.966923,POINT (4.403284579556285 51.24030450469896),1306537,1,0,0,0,True,False,1306537
5,Closes entry A,2023-12-25 06:18:30.966923,,1306537,1,0,0,0,True,False,1306537
6,Opens entry B,2023-12-25 06:48:30.966923,,1306537,1,0,1,0,False,True,1306537
7,1046675 leaves lock,2023-12-25 06:48:30.966923,POINT (4.403284579556285 51.24030450469896),1306537,1,0,1,0,False,True,1306537
8,1950006 enters lock,2023-12-25 07:20:30.966923,POINT (4.403284579556285 51.24030450469896),1306537,1,0,0,0,True,False,1306537
9,Closes entry A,2023-12-25 07:22:30.966923,,1306537,1,0,0,0,True,False,1306537
10,Opens entry B,2023-12-25 07:52:30.966923,,1306537,1,0,0,0,False,True,1306537
11,1950006 leaves lock,2023-12-25 07:52:30.966923,POINT (4.403284579556285 51.24030450469896),1306537,1,0,0,0,False,True,1306537
12,647517 enters lock,2023-12-25 09:16:30.966923,POINT (4.403284579556285 51.24030450469896),1306537,2,0,0,0,True,False,1306537
13,1647172 enters lock,2023-12-25 09:16:30.966923,POINT (4.403284579556285 51.24030450469896),1306537,2,0,0,0,True,False,1306537
14,Closes entry A,2023-12-25 09:18:30.966923,,1306537,2,0,0,0,True,False,1306537
15,Opens entry B,2023-12-25 09:48:30.966923,,1306537,2,0,1,0,False,True,1306537
16,647517 leaves lock,2023-12-25 09:48:30.966923,POINT (4.403284579556285 51.24030450469896),1306537,2,0,1,0,False,True,1306537
17,1647172 leaves lock,2023-12-25 09:48:30.966923,POINT (4.403284579556285 51.24030450469896),1306537,1,0,1,0,False,True,1306537
18,1742300 enters lock,2023-12-25 10:20:30.966923,POINT (4.403284579556285 51.24030450469896),1306537,1,0,0,0,True,False,1306537
19,Closes entry A,2023-12-25 10:22:30.966923,,1306537,1,0,0,0,True,False,1306537
20,Opens entry B,2023-12-25 10:52:30.966923,,1306537,1,0,2,0,False,True,1306537
21,1742300 leaves lock,2023-12-25 10:52:30.966923,POINT (4.403284579556285 51.24030450469896),1306537,1,0,2,0,False,True,1306537
22,239315 enters lock,2023-12-25 11:24:30.966923,POINT (4.403284579556285 51.24030450469896),1306537,2,0,0,0,True,False,1306537
23,457564 enters lock,2023-12-25 11:24:30.966923,POINT (4.403284579556285 51.24030450469896),1306537,2,0,0,0,True,False,1306537
24,Closes entry A,2023-12-25 11:26:30.966923,,1306537,2,0,0,0,True,False,1306537
25,Opens entry B,2023-12-25 11:56:30.966923,,1306537,2,0,0,0,False,True,1306537
